timestamp,temperature,humidity,pressure,gas,altitude,gps_lat,gps_lon,gps_alt,gps_fix,tof_distance,hr,hr_valid,spo2,spo2_valid,accel_x,accel_y,accel_z,accel_temp
2025-12-14 10:11:55,13.57,60.67,1019.99,31.3,-108.09,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:12:06,13.45,61.11,1020.0,31.27,-108.09,0.0,0.0,0.0,0,15.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:12:17,13.36,61.18,1019.98,31.11,-108.01,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:12:28,13.28,61.48,1019.98,31.09,-107.92,0.0,0.0,0.0,0,15.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:12:39,13.22,61.64,1019.97,31.16,-108.01,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:12:50,13.18,62.02,1020.0,31.05,-108.17,0.0,0.0,0.0,0,15.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:13:01,13.14,62.13,1020.01,31.27,-108.17,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:13:12,13.08,62.43,1020.01,31.3,-108.25,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:13:23,13.02,62.84,1020.02,31.64,-108.34,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:13:34,12.96,63.12,1020.04,31.6,-108.42,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:13:45,12.95,63.28,1020.04,31.55,-108.5,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:13:56,12.96,63.32,1020.05,31.53,-108.59,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:14:07,12.95,63.26,1020.08,31.46,-108.67,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:14:18,12.94,63.32,1020.06,31.23,-108.5,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:14:29,12.93,63.68,1020.06,31.41,-108.59,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:14:39,12.91,63.48,1020.05,31.6,-108.42,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:14:50,12.86,63.84,1020.05,31.69,-108.5,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:15:01,12.81,64.08,1020.05,31.83,-108.59,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:15:12,12.75,64.32,1020.06,31.83,-108.59,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:15:23,12.68,64.53,1020.07,31.83,-108.67,0.0,0.0,0.0,0,15.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:15:34,12.64,64.48,1020.06,31.83,-108.59,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:15:45,12.62,64.6,1020.05,31.74,-108.59,0.0,0.0,0.0,0,15.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:15:56,12.56,64.7,1020.04,32.19,-108.25,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:16:07,12.47,65.08,1020.02,32.12,-108.25,0.0,0.0,0.0,0,15.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:16:18,12.42,65.29,1020.02,31.98,-108.25,0.0,0.0,0.0,0,15.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:16:29,12.42,65.57,1020.03,31.78,-108.34,0.0,0.0,0.0,0,15.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:16:40,12.44,65.66,1020.05,31.71,-108.59,0.0,0.0,0.0,0,15.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:16:51,12.45,65.53,1020.06,31.88,-108.59,0.0,0.0,0.0,0,15.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:17:02,12.45,65.38,1020.04,32.02,-108.34,0.0,0.0,0.0,0,15.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:17:13,12.45,65.62,1020.04,32.02,-108.42,0.0,0.0,0.0,0,15.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:17:24,12.46,65.63,1020.04,31.88,-108.5,0.0,0.0,0.0,0,15.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:17:35,12.47,65.45,1020.04,31.83,-108.42,0.0,0.0,0.0,0,16.0,0,0,0,0,0.0,0.0,0.0,0.0
2025-12-14 10:17:45,12.49,65.55,1020.04,31.86,-108.42,0.0,0.0,0.0,0,15.0,0,0,0,0,0.0,0.0,0.0,0.0
